Data,Nowe przypadki
2021-02-05,6053
2021-04-03,28073
2021-01-28,7156
2020-12-07,4424
2021-06-04,319
2021-02-13,6586
2021-04-23,10858
2021-06-03,572
2021-04-22,12762
2021-04-14,21283
2021-02-03,6802
2021-01-08,8790
2021-05-29,775
2021-03-05,15829
2021-01-01,11008
2021-05-01,6469
2020-12-04,13230
2021-05-24,559
2021-05-17,1109
2021-04-25,7219
2021-05-18,1734
2020-12-22,7190
2021-03-31,32874
2021-04-10,24856
2021-03-18,27278
2021-03-13,21049
2021-04-04,22947
2020-12-27,3678
2020-12-01,9066
2021-02-24,12146
2021-01-27,6789
2021-06-05,415
2021-03-22,14578
2021-05-11,3098
2021-02-17,8694
2021-01-21,7152
2021-02-08,2431
2021-01-13,9053
2020-12-02,13870
2020-12-16,12447
2021-04-13,13227
2020-12-29,7914
2021-01-22,6640
2021-02-27,12100
2021-02-11,7008
2021-01-10,9410
2021-03-28,29253
2021-02-02,4326
2021-03-26,35143
2020-12-12,11498
2021-04-02,30546
2021-03-07,13574
2020-12-13,8978
2020-12-26,5048
2021-02-06,5965
2020-12-20,8593
2021-02-14,5334
2021-01-19,4835
2020-12-28,3211
2021-05-19,2344
2021-03-01,4786
2021-04-01,35251
2021-05-13,3730
2021-05-21,1679
2021-05-31,333
2021-04-16,17847
2021-03-25,34151
2021-01-16,7412
2021-04-05,9902
2021-02-04,6496
2020-11-30,5734
2021-02-26,11539
2021-01-04,4432
2021-02-22,3890
2021-03-24,29978
2021-05-28,946
2021-05-14,3288
